timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759261222944,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-20,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222954,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-21,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222964,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-22,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222974,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-23,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222983,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-24,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261222993,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-25,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223003,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-26,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223013,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-27,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223023,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-28,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223034,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-29,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,0
1759261223043,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-30,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
1759261223053,4,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-31,text,false,,273,181,1,1,http://localhost:3001/character/1,4,0,1
1759261223064,3,HTTP Request character,404,Not Found,Thread GroupMy Test100DELETEcharacter 1-32,text,false,,273,181,1,1,http://localhost:3001/character/1,3,0,1
